,Uniprot,PDB
7560,Q9Y3B4,6FF7
8058,O75533,6AH0
8062,O75533,6FF7
8090,Q96DI7,5MQF
8097,Q96DI7,6AH0
8099,Q96DI7,6FF7
8100,Q96DI7,6ICZ
8102,Q96DI7,6ID1
8387,Q9Y5S9,6ICZ
8598,P62826,5UWJ
8599,P62826,5UWO
8605,P62826,5UWU
8909,O95777,6AH0
9228,Q14562,5MQF
9233,Q14562,6ICZ
9252,O43395,6AH0
9289,Q9Y4Y9,6AH0
9437,Q9Y388,6FF7
9479,Q9Y333,6AH0
9518,Q9Y4Z0,6AH0
10012,Q96A72,6ICZ
10029,Q9UK45,6AH0
10357,P62318,5MQF
10364,P62318,6AH0
10366,P62318,6FF7
10367,P62318,6ICZ
10369,P62318,6ID1
10389,P62316,5MQF
10402,P62316,6AH0
10404,P62316,6FF7
10405,P62316,6ICZ
10407,P62316,6ID1
10426,P62314,5MQF
10439,P62314,6AH0
10441,P62314,6FF7
10442,P62314,6ICZ
10444,P62314,6ID1
10457,P62312,6AH0
10464,P62310,6AH0
10476,P62308,5MQF
10488,P62308,6AH0
10490,P62308,6FF7
10491,P62308,6ICZ
10493,P62308,6ID1
10512,P62306,5MQF
10525,P62306,6AH0
10526,P62306,6FF7
10527,P62306,6ICZ
10529,P62306,6ID1
10548,P62304,5MQF
10561,P62304,6AH0
10562,P62304,6FF7
10563,P62304,6ICZ
10565,P62304,6ID1
10705,Q12874,6AH0
10707,Q12874,6FF7
10929,Q6P2Q9,5MQF
10936,Q6P2Q9,6AH0
10939,Q6P2Q9,6FF7
10940,Q6P2Q9,6ICZ
10942,Q6P2Q9,6ID1
11137,A5YKK6,4J8S
11341,Q09161,1H2T
11342,Q09161,1H2U
11343,Q09161,1H2V
11345,Q09161,1N52
11346,Q09161,1N54
11347,Q09161,3FEX
11348,Q09161,3FEY
11349,Q09161,5OO6
11689,P55769,6AH0
11869,Q13573,5MQF
11874,Q13573,6FF7
11875,Q13573,6ICZ
11877,Q13573,6ID1
12204,P38919,5MQF
12207,P38919,6ICZ
12821,Q9BWJ5,6AH0
12824,Q9BWJ5,6FF7
13109,Q15459,6AH0
13111,Q15459,6FF7
13122,Q15428,6AH0
13125,Q15428,6FF7
13140,Q15427,6AH0
